country,region,habitatcode,habitatname,priority,range_surface_area,range_trend,complementary_favourable_range,complementary_favourable_range_q,coverage_surface_area,coverage_surface_area_min,coverage_surface_area_max,coverage_trend,complementary_favourable_area,complementary_favourable_area_q,method_range,conclusion_range,method_area,conclusion_area,method_structure,conclusion_structure,method_future,conclusion_future,method_assessment,conclusion_assessment,conclusion_assessment_trend,conclusion_assessment_prev,conclusion_assessment_trend_prev,conclusion_assessment_change,conclusion_assessment_trend_change,target1,future_range,future_area,future_structure,backcasted_2007,hab_condition_trend,hab_condition_good_best,hab_condition_good_min,hab_condition_good_max,hab_condition_notgood_best,hab_condition_notgood_min,hab_condition_notgood_max,hab_condition_unknown_best,hab_condition_unknown_min,hab_condition_unknown_max,use_for_statistics
EU28,BOR,8110,Siliceous scree of the montane to snow levels (Androsacetalia alpinae and Galeopsietalia ladani),N,27100,S,27100,aeq,2.5,,,S,2.5,aeq,0EQ,FV,0EQ,FV,0EQ,FV,0EQ,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,2.35,2.35,2.35,,,,0.15,0.15,0.15,Yes
EU28,CON,8130,Western Mediterranean and thermophilous scree,N,28700,I,28700,aeq,33,25,41,D,33,aeq,0EQ,FV,1,U1,1,FV,2XA,FV,MTX,U1,S,FV,S,nong,nc,D,,,,FV,S,30,24,37,0.2,0.1,0.3,0.5,0.5,0.5,Yes
EU28,ALP,8130,Western Mediterranean and thermophilous scree,N,88300,I,88300,x,931,911,950,S,931,aeq,2XA,XX,0EQ,FV,2XA,XX,2XA,XX,MTX,XX,Unk,XX,S,nc,nong,D,,,,XX,S,531,456,606,74,2.61,146,701,701,701,Yes
EU28,ATL,8130,Western Mediterranean and thermophilous scree,N,56200,S,56200,aeq,230,230,230,S,230,aeq,0EQ,FV,0EQ,FV,1,U1,2XA,FV,MTX,U1,S,XX,S,nong,nc,D,,,,XX,S,164,160,169,1.14,1.14,1.14,70,66,74,Yes
EU28,MED,8130,Western Mediterranean and thermophilous scree,N,245100,Unk,245100,x,633,490,777,,670,lt,2GD,XX,2GD,U1,2GD,U1,2GD,XX,MTX,U1,Unk,XX,S,nong,nong,D,,,,XX,Unk,214,214,214,2.29,2.29,2.29,416,274,557,Yes
EU28,CON,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,58300,S,58300,aeq,110.85,110.48,111.22,S,110.85,aeq,0EQ,FV,2XA,FV,2GD,U1,2GD,U1,MTX,U1,I,U1,S,nc,nong,B1,,,,U1,,,,,,,,,,,Yes
EU28,ALP,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,44336,I,44336,aeq,712.2,685,739.4,I,712.2,aeq,0EQ,FV,2XA,FV,2XA,U1,2XA,U1,MTX,U1,I,U1,D,nc,nong,B1,good,good,poor,U1,D,,,,,,,,,,Yes
EU28,MED,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,88656,Unk,88656,aeq,7107.99,7057.55,7158.42,Unk,7107.99,mt,2XA,XX,2XA,U1,2XA,XX,2XA,XX,MTX,U1,Unk,U1,D,nc,nong,D,unknown,unknown,unknown,U1,Unk,2872.72,2847.72,2897.72,,,,,,,Yes
EU28,MED,9590,Cedrus brevifolia forests (Cedrosetum brevifoliae),Y,40,S,,aeq,2.91,,,S,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,,2.91,2.91,,,,,,,Yes
EU28,MBAL,1170,Reefs,N,245959,S,245959,aeq,17649.39,15549,20220.78,S,17939.25,lt,1,FV,1,U1,2XA,U1,2XA,U2,MTX,U2,D,U1,D,nong,nc,C,,,,U1,S,2303.09,2183.59,2422.59,2210,2090.5,2329.5,15428.4,15174.9,15681.9,Yes
EU28,MBLS,1170,Reefs,N,27200,Unk,,x,9736,,,Unk,,x,2XA,XX,2XA,XX,2XA,XX,0EQ,U1,MTX,U1,Unk,U1,D,nc,nong,D,,,,U1,Unk,,,,,,,0,0,0,Yes
EU28,MATL,1170,Reefs,N,435017,I,,x,124863.67,115592.07,134135.27,Unk,,x,2XA,XX,2XA,XX,1,U1,2XA,U1,MTX,U1,Unk,U2,D,nong,nong,D,,,,XX,D,66802.17,59954.54,73649.8,20402.95,19125.32,21680.58,36429.53,36063.03,36796.03,Yes
EU28,MMAC,1170,Reefs,N,234500,S,234500,aeq,48616.25,48616.25,48616.25,S,48616.25,aeq,0EQ,XX,0EQ,XX,0EQ,XX,0EQ,XX,MTX,XX,Unk,FV,,nong,nc,D,,,,FV,Unk,0,0,0,0,0,0,2716.25,2716.25,2716.25,Yes
EU28,MMED,1170,Reefs,N,280567.91,Unk,280567.91,aeq,8841.68,,,Unk,8841.68,aeq,2XA,XX,2XA,XX,2XA,XX,2XA,XX,MTX,XX,Unk,XX,S,nc,nong,D,,,,XX,S,,,,,,,,,,Yes
EU28,BOR,1640,Boreal Baltic sandy beaches with perennial vegetation,N,78084,S,78084,aeq,26.63,25.63,27.63,D,26.63,mt,0EQ,FV,1,U1,2XA,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,good,poor,bad,U2,D,17.63,15.12,20.13,8.63,7.12,10.13,0,0,0,Yes
EU28,ATL,2230,Malcolmietalia dune grasslands,N,6400,S,6400,aeq,,,,S,,aeq,0EQ,FV,0EQ,FV,2GD,U1,2GD,U1,MTX,U1,S,U2,S,nong,nc,D,good,,,U2,Unk,,,,,,,,,,Yes
EU28,MED,2230,Malcolmietalia dune grasslands,N,82913.21,I,82913.21,mt,,,,D,,mmt,1,U1,2GD,U2,2GD,U1,2GD,U2,MTX,U2,D,U1,D,gen,nc,C,,,,U1,I,,,,,,,,,,Yes
EU28,CON,2230,Malcolmietalia dune grasslands,N,4500,D,4500,mmt,5.32,1.55,9.09,D,,mmt,0MS,U2,0MS,U2,0MS,U2,0MS,U2,MTX,U2,D,U2,D,nc,nc,C,bad,bad,bad,U2,,,,,,,,,,,Yes
EU28,PAN,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,47147.22,S,47147.22,aeq,,,,,,,0EQ,FV,2XR,U1,2XR,U1,2XR,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,,,,,,,,,,,Yes
EU28,MED,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,247600,D,258640,lt,,,,,,,1,U1,2GD,U2,2GD,U1,2GD,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,ATL,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,360909.33,S,360909.33,aeq,,1044.52,2350.03,D,,,0EQ,FV,2XA,U1,1,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,Unk,,355.81,1043.06,,313.1,697.54,,355.63,466.65,Yes
EU28,CON,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,726249,S,728179,lt,,2677,3612,,,,1,FV,2XA,U1,2XA,XX,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,ALP,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,217809.99,S,219936.49,lt,,,,,,,1,FV,2XR,U1,2XR,U1,2XR,U2,MTX,U2,D,U1,D,nong,nc,C,,,,U1,,,,,,,,,,,Yes
EU28,BLS,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,8800,S,8800,,88.32,,,D,88.32,,0MS,FV,0MS,U1,0MS,XX,0MS,U1,MTX,U1,Unk,U1,S,nc,nong,D,,,,U1,Unk,,,,,,,88.32,,,Yes
EU28,BOR,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,227005,S,227005,aeq,,202.75,237.2,,,,0EQ,FV,2XA,U2,2XA,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,68.34,87.25,,8.58,37.48,Yes
EU28,CON,6280,Nordic alvar and precambrian calcareous flatrocks,Y,1400,S,1400,aeq,135,,,S,135,aeq,0MS,FV,0MS,FV,0MS,U1,0MS,U1,MTX,U1,D,FV,S,gen,gen,C,,,,FV,D,108,,,27,,,0,,,Yes
EU28,BOR,6280,Nordic alvar and precambrian calcareous flatrocks,Y,45100,S,45100,aeq,300.5,,,D,300.55,lt,0EQ,FV,1,U1,1,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,168.05,,,102.45,,,30,,,Yes
EU28,CON,6530,Fennoscandian wooded meadows,Y,8500,S,8500,mmt,0.13,,,D,0.13,mmt,0MS,U2,0MS,U2,0MS,U2,0MS,U2,MTX,U2,D,U2,D,nc,nc,C,bad,bad,bad,U2,D,0.3,0.3,0.3,0.1,0.1,0.1,0,,,Yes
EU28,BOR,6530,Fennoscandian wooded meadows,Y,198645,Unk,198645,x,70.02,57.75,82.3,Unk,70.02,x,2XA,U1,2XA,U2,2XA,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,24.77,24.77,24.77,35.68,25.46,45.91,40.29,5.38,75.2,Yes
EU28,MAC,8220,Siliceous rocky slopes with chasmophytic vegetation,N,4369,S,4369,aeq,30,28,31,S,30,aeq,0EQ,FV,0EQ,FV,0EQ,U1,0EQ,U1,MTX,U1,S,U2,Unk,nong,nong,D,,,,U2,S,17,17,18,8.78,7.58,9.98,3.34,3.34,3.34,Yes
EU28,BLS,8220,Siliceous rocky slopes with chasmophytic vegetation,N,3700,I,3700,aeq,0.81,,,S,0.81,aeq,0MS,FV,0MS,FV,0MS,XX,0MS,U1,MTX,U1,S,FV,S,nong,nc,D,,,,FV,Unk,,,,,,,0.81,0.81,0.81,Yes
EU28,ALP,8220,Siliceous rocky slopes with chasmophytic vegetation,N,244993,I,244993,aeq,9309,9251,9366,I,9309,aeq,0EQ,FV,0EQ,FV,2GD,XX,2GD,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,6425,6069,6782,311,105,517,2275,2067,2482,Yes
EU28,ATL,8220,Siliceous rocky slopes with chasmophytic vegetation,N,133662,S,133662,aeq,541,541,541,S,541,aeq,0EQ,FV,2GD,XX,2GD,XX,2GD,U1,MTX,U1,S,XX,Unk,nong,nong,D,,,,XX,Unk,125,117,133,31,25,36,405,377,432,Yes
EU28,PAN,8220,Siliceous rocky slopes with chasmophytic vegetation,N,5984,I,5984,aeq,0.63,0.53,0.73,S,0.63,aeq,0EQ,FV,0EQ,FV,2XA,XX,0EQ,FV,MTX,FV,S,U1,S,nong,nc,A=,,,,U1,S,0.38,0.28,0.48,0.005,0.005,0.005,0.24,0.24,0.24,Yes
EU28,CON,8220,Siliceous rocky slopes with chasmophytic vegetation,N,272228,S,272228,aeq,2626,2554,2696,S,2626,aeq,2XR,FV,2XR,FV,2XR,U1,2XR,FV,MTX,U1,S,U1,S,nc,nc,D,,,,U1,S,1981,1878,2084,110,7.23,212,535,,,Yes
EU28,BOR,8220,Siliceous rocky slopes with chasmophytic vegetation,N,558190,S,558190,aeq,1363,,,S,1363,aeq,0EQ,FV,1,FV,1,FV,2XA,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,1253,1223,1283,100,70,130,9.43,9.43,9.43,Yes
EU28,MED,8220,Siliceous rocky slopes with chasmophytic vegetation,N,288620,Unk,288620,x,852,820,884,U,852,x,2GD,XX,2GD,XX,2GD,U1,2GD,XX,MTX,U1,Unk,XX,,nong,nong,D,,,,XX,Unk,203,203,204,30,30,30,619,587,651,Yes
EU28,ALP,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,28226,I,262.96,aeq,292.63,,322.3,D,292.62,mt,2XA,FV,2XA,U2,2XA,U1,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,good,bad,poor,U2,D,,,,,,,,,,Yes
EU28,CON,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,110687,I,110687,aeq,3128.19,3055.13,3201.23,S,3128.19,mt,1,FV,1,U1,1,U1,2XA,U1,MTX,U1,S,U1,Unk,nc,nong,D,good,good,poor,U1,S,2779.7,2744.7,2814.7,,,,,,,Yes
EU28,PAN,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,15517,S,15517,aeq,352.5,245,460,S,352.5,aeq,0MS,FV,0MS,U1,0MS,U2,0MS,U1,MTX,U2,S,U1,S,nong,nc,D,good,poor,poor,U1,Unk,155,120,190,120,85,155,77.5,40,115,Yes
EU28,MED,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,37308,I,37300,aeq,303.08,162.63,443.52,Unk,303.08,mt,0MS,FV,0MS,U1,0MS,U1,0MS,U1,MTX,U1,S,U1,Unk,nc,nc,D,good,poor,poor,U1,Unk,50.2,50.2,50.2,6.78,3.68,3.68,0.38,0.38,0.38,Yes
EU28,CON,91P0,Holy Cross fir forests (Abietetum polonicum),N,36100,S,,aeq,185,,,S,,aeq,0MS,FV,0MS,FV,0MS,U1,0MS,FV,MTX,U1,S,U1,S,nc,nc,D,good,good,good,U1,S,,84,162,,23,101,,,,Yes
EU28,MED,9250,Quercus trojana woods,N,5001,S,5001,mt,457.31,269.62,645,Unk,457.31,mt,2XA,U1,2XA,U1,2XA,U1,2XA,XX,MTX,U1,Unk,U1,D,nc,nong,D,unknown,unknown,unknown,U1,Unk,571.77,571.77,571.77,,,,,,,Yes
EU28,ALP,9260,Castanea sativa woods,N,45000,D,45000,aeq,2244.38,1822.7,266.06,D,2244.38,aeq,2XA,U1,2XA,U1,2XA,U1,2XA,U1,MTX,U1,D,U1,D,nc,nc,C,poor,poor,poor,U1,D,,,,,,,,,,Yes
EU28,ATL,9260,Castanea sativa woods,N,40100,S,,aeq,206.77,,,S,,mt,0MS,FV,0MS,U1,0MS,XX,0MS,U1,MTX,U1,S,U1,D,nc,nong,D,good,poor,unknown,U1,Unk,,16.26,16.33,,1.45,1.45,,188.95,189.06,Yes
EU28,MED,9260,Castanea sativa woods,N,194829,S,194829,aeq,254526.07,2733.34,506318.8,Unk,254526.07,mt,2GD,U1,2GD,U1,2GD,U2,2GD,U2,MTX,U2,Unk,U2,D,nc,nong,D,unknown,poor,bad,U2,Unk,,,,,,,,,,Yes
EU28,CON,9260,Castanea sativa woods,N,70100,S,70100,aeq,1593.94,1272.66,1936.81,D,1593.94,aeq,2XA,FV,2XA,U1,2XA,U1,2XA,U1,MTX,U1,D,U1,Unk,nc,nc,C,good,poor,poor,U1,D,,,,,,,,,,Yes
EU28,MED,9280,Quercus frainetto woods,N,3225,S,,aeq,996,,,S,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,,nc,nc,A=,good,good,good,FV,S,,896.4,896.4,,,,,99.6,99.6,Yes
EU28,MED,93A0,Woodlands with Quercus infectoria (Anagyro foetidae-Quercetum infectoriae),N,625,S,625,aeq,6.44,,,S,6.44,aeq,0MS,FV,0MS,FV,0MS,U2,0MS,U2,MTX,U2,S,FV,S,nong,nc,D,,,,FV,S,2.97,2.97,2.97,3.47,3.47,3.47,,,,Yes
EU28,MED,9520,Abies pinsapo forests,N,1900,S,,aeq,13.25,,,I,,aeq,0MS,FV,0MS,FV,0MS,U1,0MS,U1,MTX,U1,I,U1,Unk,nc,nong,B2,good,good,poor,U1,I,,7.84,7.84,,3.24,3.24,,2.17,2.17,Yes
EU28,ALP,3170,Mediterranean temporary ponds,Y,700,D,700,x,7.7,5.89,9.5,Unk,7.7,x,0MS,XX,0MS,XX,0MS,XX,0MS,XX,MTX,XX,Unk,XX,Unk,nc,nc,D,unknown,unknown,unknown,XX,Unk,5.89,5.89,5.89,0,,,0,,,Yes
EU28,CON,3170,Mediterranean temporary ponds,Y,5600,D,,mmt,1.29,0.65,1.93,D,1.29,mmt,0MS,U2,0MS,U2,0MS,U1,0MS,U2,MTX,U2,D,U2,D,nc,nc,C,bad,bad,poor,U2,D,0.21,,,0,,,0.04,,,Yes
EU28,MED,3170,Mediterranean temporary ponds,Y,,,,,,,,,,,2GD,XX,2GD,U2,2GD,U2,2GD,XX,MTX,U2,Unk,U1,S,nong,nong,D,,,,U1,,,,,,,,,,,Yes
EU28,ATL,3170,Mediterranean temporary ponds,Y,2395.68,,,,1.66,,,,,,2XA,U1,2XA,U1,2XA,U1,2XA,U1,MTX,U1,D,U1,I,nc,nong,C,,,,U1,,1.16,,,,,,0.49,,,Yes
EU28,MAC,3170,Mediterranean temporary ponds,Y,1000,D,1000,x,7,2,9,D,7,x,0MS,XX,0MS,U1,1,U2,0MS,XX,MTX,U2,S,U1,S,nong,nc,D,unknown,poor,unknown,FV,S,1.75,,,1.75,,,1,,,Yes
EU28,CON,4010,Northern Atlantic wet heaths with Erica tetralix,N,56720,S,,,608.87,558.71,659.36,D,,,2GD,U1,2GD,U2,2GD,U2,2GD,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,,,,,,,,,,Yes
EU28,ATL,4010,Northern Atlantic wet heaths with Erica tetralix,N,301610.03,S,309105.03,aeq,7105.57,,,D,,,1,U1,2XA,U1,1,U2,0EQ,U2,MTX,U2,D,U2,S,nc,nong,C,,,,U2,D,707.45,469.36,945.54,2688.29,2257.23,3119.35,3702.36,3400.4,4004.31,Yes
EU28,BOR,4010,Northern Atlantic wet heaths with Erica tetralix,N,14981,S,,,12.54,,,I,,,0EQ,FV,2XA,U1,2XA,U1,2XA,U1,MTX,U1,I,U2,Unk,gen,gen,B1,,,,U2,S,10.2,10.2,10.2,3.11,3.11,3.11,0,0,0,Yes
EU28,MED,4010,Northern Atlantic wet heaths with Erica tetralix,N,1200,S,,x,12.6,,,D,,x,0MS,FV,0MS,U1,0MS,U2,0MS,U2,MTX,U2,D,U1,D,nong,nc,C,,,,U1,,,,,,,,,,,Yes
EU28,MAC,4050,Endemic macaronesian heaths,Y,9440,S,9440,aeq,1295,1262,1505,S,1295,aeq,0EQ,FV,0EQ,FV,1,U2,2XA,U1,MTX,U2,D,FV,S,gen,gen,C,,,,FV,D,,456,505,,706,800,,120,220,Yes
EU28,STE,40C0,Ponto-Sarmatic deciduous thickets,Y,23000,S,23000,,125.5,,,S,125.5,mt,0MS,FV,0MS,U1,0MS,U1,0MS,FV,MTX,U1,S,U1,Unk,nc,nong,D,,,,U1,S,,93.84,93.84,,,,,31.63,31.63,Yes
EU28,CON,40C0,Ponto-Sarmatic deciduous thickets,Y,26500,S,26500,,8.13,,,S,8.13,mt,1,FV,1,U1,1,XX,2XA,FV,MTX,U1,S,U1,Unk,nc,nong,D,,,,U1,Unk,1.2,1.2,1.2,0,0,0,6.93,6.93,6.93,Yes
EU28,MED,6160,Oro-Iberian Festuca indigesta grasslands,N,44300,S,44300,aeq,,,,,,,1,FV,2GD,U1,2GD,U1,2GD,U1,MTX,U1,S,U2,D,nong,nong,D,,,,U2,,,,,,,,,,,Yes
EU28,ATL,6160,Oro-Iberian Festuca indigesta grasslands,N,15200,D,,,,,,,,,2GD,U1,2GD,U1,2GD,U1,2GD,U1,MTX,U1,D,U2,Unk,nong,nong,C,,,,U2,,,,,,,,,,,Yes
EU28,STE,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,4800,S,,aeq,71,,,S,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,U1,,,,A+,good,good,good,U1,S,,66,66,,5,5,,,,Yes
EU28,ALP,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,27650,S,27650.4,aeq,137,132,142,I,137,aeq,1,FV,2GD,FV,2GD,U1,2GD,U1,MTX,U1,I,U1,S,nc,nong,B1,,,,U1,,,,,,,,,,,Yes
EU28,MED,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,110730,I,,aeq,14133.73,12189.9,16077.56,S,,aeq,1,FV,2XA,FV,2XA,FV,2XA,FV,MTX,FV,S,U1,Unk,nc,nc,A+,good,good,good,U1,S,10441.94,10441.94,10441.94,28.23,28.23,28.23,1087.8,1087.8,1087.8,Yes
EU28,CON,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,,,,,,,,,,,2GD,FV,2GD,FV,2GD,U1,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,,,,,,,,,,,Yes
EU28,PAN,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,42855.35,S,42855.35,aeq,1302.5,1253,1370,S,1302.5,aeq,0EQ,FV,1,FV,2XA,U2,2XA,U1,MTX,U2,S,U1,D,nong,nong,D,good,good,poor,U1,Unk,442.31,432.31,452.31,618.6,591.1,646.1,241.6,211.6,271.6,Yes
EU28,BLS,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,9300,S,9300,,1456.53,,,D,1456.53,,0MS,FV,0MS,FV,2GD,U1,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,,,,,,,,,,,Yes
EU28,CON,91Z0,Moesian silver lime woods,N,81400,S,81400,,375.37,,,S,375.37,,0MS,XX,0MS,FV,0MS,FV,0MS,FV,MTX,FV,I,U1,S,nong,nong,A=,unknown,good,good,U1,S,,375.37,375.37,,,,,,,Yes
EU28,ALP,91Z0,Moesian silver lime woods,N,13000,S,13000,,5.99,,,S,5.99,,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,I,U1,S,nong,nong,A=,good,good,good,U1,S,,5.99,5.99,,,,,,,Yes
EU28,BLS,91Z0,Moesian silver lime woods,N,5400,S,5400,,7.78,,,S,7.78,,0MS,XX,0MS,FV,0MS,FV,0MS,FV,MTX,FV,I,U1,S,nong,nong,A=,unknown,good,good,U1,S,,7.78,7.78,,,,,,,Yes
EU28,ALP,9420,Alpine Larix decidua and/or Pinus cembra forests,N,101374.09,I,101374.09,aeq,4043.77,3518.29,4369.25,D,4043.77,aeq,0EQ,FV,1,U1,2XA,XX,2XA,FV,MTX,U1,I,FV,S,nong,nong,B2,good,good,good,FV,S,,,,,,,,,,Yes
EU28,MBAL,1650,Boreal Baltic narrow inlets,N,21500,S,21500,aeq,670,670,670,S,670,aeq,0EQ,FV,0EQ,FV,0EQ,U2,2XA,U2,MTX,U2,S,U2,D,nc,nong,D,good,good,bad,U2,S,72.5,2,143,297,227,369,300,300,300,Yes
EU28,CON,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,744422,S,744422,aeq,717.16,614.33,818.18,S,717.16,aeq,2GD,FV,2GD,FV,2GD,U1,2GD,U1,MTX,U1,I,U1,S,nc,nong,B1,good,good,poor,U1,D,303,251,355,252.86,208.67,297.04,151.45,99.77,203.13,Yes
EU28,ALP,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,170864.4,S,170684.4,,155.34,130.31,178.93,S,155.34,aeq,2GD,FV,2GD,FV,2GD,U1,2GD,FV,MTX,U1,D,U1,D,nc,nc,C,good,good,good,U1,S,78.04,67.62,88.6,24.22,16.72,31.72,23.5,20.98,26.03,Yes
EU28,MED,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,293109.61,S,293109.61,mt,126.24,99.42,153.05,S,126.24,mt,1,U1,2GD,U1,2GD,U1,2GD,XX,MTX,U1,Unk,U2,D,nong,nong,D,poor,poor,poor,U2,S,30.69,30.49,30.81,8.83,8.83,8.83,85.73,58.23,111.23,Yes
EU28,BOR,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,895290,S,895290,aeq,2189.25,2155.6,2222.9,I,2189.25,aeq,0EQ,FV,1,FV,2GD,U2,2GD,U2,MTX,U2,D,U2,D,nc,nc,C,good,poor,poor,U2,D,133.94,121.15,146.73,186.86,182.14,191.58,1642.7,1642.7,1642.7,Yes
EU28,STE,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,1100,S,1100,aeq,1000,,,S,1000,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,850,800,900,25,0,50,25,0,50,Yes
EU28,ATL,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,547185.96,S,547185.96,aeq,1000.97,598.97,1402.97,S,1000.97,mt,1,FV,2GD,U1,2GD,U2,2GD,U1,MTX,U2,S,U2,I,nc,nong,D,good,poor,poor,U2,D,463.38,130.94,795.81,408.2,77.76,738.63,620.89,565.5,676.29,Yes
EU28,PAN,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,8874.92,S,8874.92,aeq,3.88,3.63,4.13,S,3.88,aeq,0EQ,FV,2GD,U1,2GD,FV,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,good,good,poor,U1,D,2.53,2.33,2.73,0.7,0.68,0.72,0.62,0.62,0.62,Yes
EU28,BLS,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,3900,S,3900,aeq,301.51,301.51,301.51,S,301.51,aeq,0EQ,FV,2GD,XX,2GD,U1,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,poor,poor,poor,U1,S,250.78,250.78,250.78,0.54,0.54,0.54,25.2,0.19,50.2,Yes
EU28,ALP,4060,Alpine and Boreal heaths,N,326541,S,326541,aeq,36414,,,S,36414,aeq,0EQ,FV,0EQ,FV,2XA,U1,2XA,FV,MTX,U1,S,FV,S,nong,nc,D,,,,FV,,,,,,,,,,,Yes
EU28,ATL,4060,Alpine and Boreal heaths,N,94459,S,94459,aeq,729,,,S,772,aeq,1,FV,1,U1,2XA,U2,2XA,U2,MTX,U2,I,U2,I,nc,nc,B1,,,,U2,I,,204,2019,,176,191,,294,374,Yes
EU28,CON,4060,Alpine and Boreal heaths,N,37261,Unk,37261,aeq,132,,,S,132,aeq,1,XX,1,FV,1,XX,2XA,U1,MTX,U1,Unk,FV,S,nong,nong,D,,,,FV,S,6.9,,,1.4,,,123.9,,,Yes
EU28,MED,4060,Alpine and Boreal heaths,N,75689,Unk,75689,aeq,1104,,,Unk,1104,aeq,1,XX,1,XX,2XA,XX,2XA,XX,MTX,XX,Unk,XX,Unk,nc,nc,D,,,,XX,,,,,,,,,,,Yes
EU28,MAC,4060,Alpine and Boreal heaths,N,300,S,300,aeq,22,15,23,S,22,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,,15,23,0,,,0,,,Yes
EU28,BOR,4060,Alpine and Boreal heaths,N,89100,S,89100,aeq,1290,,,S,1290,aeq,0EQ,FV,0EQ,FV,2XA,U1,2XA,U1,MTX,U1,D,U1,S,nc,nong,C,,,,U1,,,,,,,,,,,Yes
EU28,MED,62B0,Serpentinophilous grasslands of Cyprus,Y,51,S,51,aeq,0.41,,,S,0.41,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,0.41,,,0,,,0,,,Yes
EU28,MED,6460,Peat grasslands of Troodos,N,2,S,2,aeq,0.01,0.01,0.01,S,0.01,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,0.02,0.02,0.02,,,,,,,Yes
EU28,MED,8140,Eastern Mediterranean screes,N,16884,S,16884,aeq,315,265,365,S,315,aeq,0EQ,FV,0EQ,FV,0EQ,FV,0EQ,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,309,259,359,,,,6.43,6.43,6.43,Yes
