featuretype,country,region,featurecode,featurename,measures_needed,measures_status,measures_purpose,measures_location,measures_response,measures_info,use_for_statistics
species,BE,CON,1145,Misgurnus fossilis,Yes,taken,restore,inOut,medTerm,,Yes
species,BE,CON,1191,Alytes obstetricans,No,,,,,,Yes
species,BE,CON,1324,Myotis myotis,Yes,taken,restore,inOut,medTerm,this species is a target species for the LIFE Pays Mosan (https://www.lifepaysmosan.eu/index.php?id=3262).,Yes
species,BE,CON,1378,Cladonia (Cladina) subsp.,No,,,,,,Yes
species,BG,ALP,1166,Triturus cristatus,Yes,taken,maintain,inOut,srtTerm,,Yes
species,BG,ALP,1261,Lacerta agilis,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,1303,Rhinolophus hipposideros,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1310,Miniopterus schreibersii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1341,Muscardinus avellanarius,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1845,Fritillaria gussichiae,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,6908,Morimus asper funereus,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,6927,Himantoglossum jankae,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,6963,Cobitis taenia Complex,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,1056,Parnassius mnemosyne,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,1060,Lycaena dispar,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,1086,Cucujus cinnaberinus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,1292,Natrix tessellata,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,1329,Plecotus austriacus,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,1358,Mustela putorius,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,1866,Galanthus nivalis,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,2125,Potentilla emilii-popii,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,4091,Crambe tataria,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,5003,Myotis alcathoe,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,1026,Helix pomatia,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1074,Eriogaster catax,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1091,Astacus astacus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1304,Rhinolophus ferrumequinum,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,1316,Myotis capaccinii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,1324,Myotis myotis,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,2011,Umbra krameri,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,2487,Acipenser ruthenus,Yes,taken,maintain,inOut,,,Yes
species,BG,CON,2635,Vormela peregusna,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,4039,Nymphalis vaualbum,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,6095,Zamenis situla,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,6997,Bufotes viridis,Yes,taken,maintain,inOut,medTerm,,Yes
species,CY,MED,1307,Myotis blythii,No,,,,,"Some measures, mostly inside N2000 areas were taken in the framework of LIFE ICOSTACY programme, bur many more are needed",Yes
species,CY,MED,1309,Pipistrellus pipistrellus,No,,,,,,Yes
species,CY,MED,6199,Euplagia quadripunctaria,No,,,,,"""Some actions aiming for the conservation of the species and its habitats were carried out during the previous reporting period under 
the LIFE09 NAT/CY/000247 (ICOSTACY) program.""",Yes
species,CY,MED,6958,Mediodactylus kotschyi,No,,,,,,Yes
species,CY,MMED,1227,Chelonia mydas,Yes,taken,increase,inOut,srtTerm,Nest protection measures are being implemented both inside and outside Natura 2000 areas since 1989.,Yes
species,CZ,CON,1037,Ophiogomphus cecilia,No,,,,,,Yes
species,CZ,CON,1303,Rhinolophus hipposideros,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,CON,1328,Nyctalus lasiopterus,Yes,taken,maintain,inOut,lonTerm,,Yes
species,CZ,CON,1355,Lutra lutra,No,,,,,,Yes
species,CZ,CON,1381,Dicranum viride,Yes,taken,increase,inOut,lonTerm,,Yes
species,CZ,CON,1400,Leucobryum glaucum,No,,,,,,Yes
species,CZ,CON,4026,Rhysodes sulcatus,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,CON,5329,Romanogobio vladykovi,Yes,ident,,,medTerm,,Yes
species,CZ,PAN,1034,Hirudo medicinalis,No,,,,,,Yes
species,CZ,PAN,1053,Zerynthia polyxena,No,,,,,,Yes
species,CZ,PAN,1160,Zingel streber,Yes,ident,,,medTerm,,Yes
species,CZ,PAN,1203,Hyla arborea,No,,,,,,Yes
species,CZ,PAN,1902,Cypripedium calceolus,Yes,taken,maintain,in,srtTerm,,Yes
species,CZ,PAN,4098,Iris humilis subsp. arenaria,Yes,taken,maintain,out,srtTerm,,Yes
species,CZ,PAN,6976,Pelophylax esculentus,No,,,,,,Yes
species,DE,ALP,1261,Lacerta agilis,No,,,,,,Yes
species,DE,ALP,1313,Eptesicus nilssonii,No,,,,,,Yes
species,DE,ALP,1369,Rupicapra rupicapra,No,,,,,,Yes
species,DE,ALP,1614,Apium repens,Yes,taken,maintain,inOut,medTerm,,Yes
species,DE,ALP,5085,Barbus barbus,No,,,,,,Yes
species,DE,ATL,1037,Ophiogomphus cecilia,No,,,,,,Yes
species,DE,ATL,1096,Lampetra planeri,Yes,taken,maintain,inOut,srtTerm,,Yes
species,DE,ATL,1352,Canis lupus,Yes,taken,expand,inOut,medTerm,,Yes
species,DE,ATL,1400,Leucobryum glaucum,No,,,,,,Yes
species,DE,ATL,4056,Anisus vorticulus,Yes,taken,maintain,inOut,medTerm,,Yes
species,DE,CON,1044,Coenagrion mercuriale,Yes,taken,maintain,inOut,medTerm,,Yes
species,DE,CON,1048,Aeshna viridis,No,,,,,,Yes
species,DE,CON,1067,Lopinga achine,No,,,,,,Yes
species,DE,CON,1086,Cucujus cinnaberinus,Yes,taken,maintain,inOut,srtTerm,,Yes
species,DE,CON,1103,Alosa fallax,Yes,notIdent,,,,,Yes
species,DE,CON,1145,Misgurnus fossilis,Yes,ident,,,,,Yes
species,DE,CON,1157,Gymnocephalus schraetzer,Yes,ident,,,,,Yes
species,DE,CON,1214,Rana arvalis,No,,,,,,Yes
species,DE,CON,1304,Rhinolophus ferrumequinum,Yes,taken,expand,inOut,lonTerm,,Yes
species,DE,CON,1320,Myotis brandtii,No,,,,,,Yes
species,DE,CON,2555,Gymnocephalus baloni,Yes,ident,,,,,Yes
species,DE,CON,5042,Acipenser oxyrinchus,Yes,taken,maintain,inOut,lonTerm,,Yes
species,DE,CON,5066,Coregonus lucinensis,No,,,,,,Yes
species,DE,CON,5348,Sabanejewia baltica,No,,,,,,Yes
species,DE,CON,6284,Epidalea calamita,No,,,,,,Yes
species,DE,MATL,1351,Phocoena phocoena,Yes,taken,maintain,inOut,lonTerm,,Yes
species,DK,ATL,1096,Lampetra planeri,No,,,,,,Yes
species,DK,CON,1037,Ophiogomphus cecilia,No,,,,,,Yes
species,DK,CON,1314,Myotis daubentonii,No,,,,,,Yes
species,DK,MATL,2029,Globicephala melas,No,,,,,,No
species,EE,BOR,1056,Parnassius mnemosyne,No,,,,,,Yes
species,EE,BOR,1058,Maculinea arion,Yes,taken,restore,in,lonTerm,,Yes
species,EE,BOR,1060,Lycaena dispar,No,,,,,,Yes
species,EE,BOR,1081,Dytiscus latissimus,Yes,ident,,,lonTerm,"1. More field data needed to accurately determine the population size and trends.
2. Studies needed on the impact of the increasing range and population of Cybister lateralimarginalis on the population trend of Dytiscus latissimus.",Yes
species,EE,BOR,1214,Rana arvalis,Yes,taken,maintain,inOut,srtTerm,,Yes
species,EE,BOR,1317,Pipistrellus nathusii,No,,,,,"Multi-species action plan for bats:
https://www.envir.ee/sites/default/files/nahkhiired_ktk_kinnitamiseks_25.01.17_mr_lk_me.pdf pages 37-42. The main activity concerning the measure CC03 is mapping of migration routes to prevent building wind farms on important migration bottlenecks.",Yes
species,EE,BOR,1320,Myotis brandtii,No,,,,,"Multi-species action plan for bats:
https://www.envir.ee/sites/default/files/nahkhiired_ktk_kinnitamiseks_25.01.17_mr_lk_me.pdf pages 37-42. Measure CF02 is identified in the action plan as improving the quality and conditions of important hibernation sites. Measure CF09 is identified as reducing the negative impact of light pollution in important breeding habitats.",Yes
species,EE,BOR,1356,Mustela lutreola,Yes,taken,increase,inOut,medTerm,https://www.envir.ee/sites/default/files/elfinder/article_files/euroopanaarits_kava_uus.pdf p 35-43,Yes
species,EE,BOR,1383,Dichelyma capillaceum,No,,,,,,Yes
species,EE,BOR,1962,Moehringia lateriflora,Yes,ident,,,srtTerm,,Yes
species,EE,BOR,5009,Pipistrellus pygmaeus,No,,,,,"Multi-species action plan for bats:
https://www.envir.ee/sites/default/files/nahkhiired_ktk_kinnitamiseks_25.01.17_mr_lk_me.pdf pages 37-42. The main activity concerning the measure CC03 is mapping of migration routes to prevent building wind farms on important migration bottlenecks.",No
species,EE,BOR,6216,Hamatocaulis vernicosus,Yes,taken,maintain,in,lonTerm,,Yes
species,EE,BOR,6284,Epidalea calamita,Yes,taken,maintain,inOut,srtTerm,,Yes
species,ES,ALP,1065,Euphydryas aurinia,Yes,ident,,,,,Yes
species,ES,ALP,1303,Rhinolophus hipposideros,Yes,taken,maintain,inOut,medTerm,"Se están llevando a cabo acciones de restauración y mejora de hábitats lacustres y palustres de montaña, eliminación de especies invasoras y estudios de conservación, con el murciélago pequeño de herradura como especie objetivo, bajo el proyecto LIFE LimnoPirineus - Restauración de hábitats leníticos y especies acuáticas de Interés Comunitario de la alta montaña de los Pirineos [LIFE13 NAT/ES/001210], durante el periodo 2014 - 2019 (http://www.lifelimnopirineus.eu).
Las acciones llevadas se están realizando en los espacios Red Natura 2000 de ZEC Aigüestortes [ES0000022], ZEC Alt Pallars [ES5130003] y ZEC Estanho de Vielha [ES5130006].
En Navarra se han llevado a cabo varias iniciativas con el objetivo de mejorar el hábitat de la especie mediante la adecuación y/o construcción de estructuras que albergen refugios y colonias de cría (Alcalde et al., 2017).",Yes
species,ES,ALP,1304,Rhinolophus ferrumequinum,Yes,taken,restore,inOut,medTerm,"En Navarra se han llevado a cabo varias iniciativas con el objetivo de mejorar el hábitat de la especie mediante la adecuación y/o construcción de estructuras que albergen refugios y colonias de cría (Alcalde et al., 2017).",Yes
species,ES,ALP,1356,Mustela lutreola,Yes,taken,maintain,inOut,srtTerm,Se han desarrollado trabajos de detección y captura de visón americano (1 ejemplar en 2016-2017) dentro del proyecto LIFE IREKIBAI (LIFE14 NAT/ES/000186) en las cuenca fluvial atlántica y también trabajos de detección con medios propios en la cuenca mediterránea.,Yes
species,ES,ALP,1864,Narcissus bulbocodium,No,,,,,,No
species,ES,ALP,5258,Iberolacerta aurelioi,Yes,notIdent,,,,"Según Arribas (2015) existe una propuesta de plan de recuperación de la especie, redactado en 1999 para la Generalitat de Catalunya y pendiente de aprobación, titulado “Plan de recuperación de las lagartijas Pallaresa (Iberolacerta aurelioi) y aranesa (Iberolacerta aranica). Memoria técnica”.",Yes
species,ES,ALP,5259,Iberolacerta bonnali,No,,,,,,Yes
species,ES,ALP,6284,Epidalea calamita,No,,,,,,Yes
species,ES,ALP,6966,Osmoderma eremita Complex,Yes,ident,,,,,Yes
species,ES,ATL,1029,Margaritifera margaritifera,Yes,taken,maintain,inOut,lonTerm,"Se han llevado a cabo acciones de recuperación del hábitat y de las poblaciones de este invertebrado bajo el proyecto LIFE Margall-Ulla [LIFE 09 NAT/ES/000514] durante el período 2010 - 2016, en Galicia.
Asimismo, el Plan de Restauración del río Bidasoa en Navarra, ha llevado a cabo acciones para mejorar la calidad del hábitat en los espacios ZEC Río Bidasoa [	ES2200014] y 	Río Baztan y Regata Artesiaga [ES2200023] (https://4.interreg-sudoe.eu/contenido-dinamico/librería-ficheros/8E54F749-C6DA-61E2-8285-62639092394A.pdf).
Se han realizado y están en marcha varios proyectos de eliminación de obstáculos (presas hidroeléctricas), asi como ensayos de eliminación de vegetación de ribera exótica en Navarra. No obstante, serían necesarios proyectos de cría en cautividad y reintroducción de nuevos efectivos poblacionales para asegurar la supervivencia de esta exigua población.
Con financiación europea (FEADER) y encargado por el Gobierno del Principado de Asturias, se ha iniciado el censo de Margaritifera margaritifera en ríos asturianos (http://www.biosfera.es/censo-margaritifera-asturias/).",Yes
species,ES,ATL,1061,Maculinea nausithous,Yes,ident,,,,,Yes
species,ES,ATL,1086,Cucujus cinnaberinus,No,,,,,,Yes
species,ES,ATL,1172,Chioglossa lusitanica,Yes,notIdent,,,,"Es necesario desarrollar planes de conservación en las áreas de distribución de esta especie, mediante el cambio del uso forestal de especies de Eucaliptus spp en monocultivo, hacia una gestión forestal menos dañina con especies forestales nativas.
En secciones de cursos de agua donde la cobertura del eucalipto es densa fueron observados muy bajos índices de presencia de Chioglossa lusitanica (0,5 individuos/100 m de orillas) (Arntzen, 2015).
Un riesgo adicional es representado por los incendios forestales y el manejo forestal de las especies de eucalipto (Eucaliptus spp) y las plantaciones comerciales de pinos (Arntzen, 1981; Vences, 1993; 2015; Arntzen et al., 2009).",Yes
species,ES,ATL,1420,Culcita macrocarpa,Yes,taken,maintain,inOut,medTerm,,Yes
species,ES,ATL,5296,Pseudochondrostoma duriense,Yes,ident,,,,,Yes
species,ES,ATL,5365,Hypsugo savii,Yes,ident,,,,,Yes
species,ES,ATL,6199,Euplagia quadripunctaria,Yes,ident,,,,,Yes
species,ES,ATL,6216,Hamatocaulis vernicosus,Yes,ident,,,,"Las medidas de conservación de esta especie son de tipo legal, administrativo y contractual tanto dentro como fuera de la Red Natura 2000 basadas sobre todo en la mejora de los Espacios de Conservación de la especie.",Yes
species,ES,ATL,6966,Osmoderma eremita Complex,Yes,taken,expand,in,medTerm,"El proyecto LIFE Biodiversidad y Trasmochos [LIFE08 NAT/E/000075] se desarrolló en País Vasco con el objetivo de mejorar y estudiar el hábitat forestal para especies de escarabajos saproxílicos entre los que se encuentra Osmoderma eremita, entre 2010 y 2014 (http://www.lifetrasmochos.net/images/Trasmochos/Documentos/layman_cast.pdf).",Yes
species,ES,MAC,1273,Chalcides simonyi,Yes,ident,,,,,Yes
species,ES,MAC,1565,Teline rosmarinifolia,Yes,ident,,,,,Yes
species,ES,MAC,1699,Sideritis discolor,Yes,ident,,,,,Yes
species,ES,MAC,1811,Atractylis preauxiana,Yes,taken,maintain,inOut,medTerm,Se han realizado medidas de conservación como el vallado de algunas de las poblaciones para evitar su afección por conejos.,Yes
species,ES,MAC,1815,Onopordum carduelium,Yes,ident,,,,,Yes
species,ES,MAC,6940,Sideroxylon canariensis,Yes,ident,,,,,Yes
species,ES,MAC,6945,Pelophylax perezi,No,,,,,,Yes
species,ES,MATL,1349,Tursiops truncatus,Yes,taken,maintain,inOut,medTerm,"Medidas planteadas en el Plan de Conservación del Delfín Mular (Tursiops
truncatus) en aguas del Archipiélago Balear, en la Propuesta de Plan de Conservación para el Delfín Mular (Tursiops truncatus) en Andalucía y Murcia o en el Plan de Conservación de los cetáceos del Archipiélago canario.",Yes
species,ES,MATL,1350,Delphinus delphis,Yes,taken,maintain,inOut,lonTerm,Medidas planteadas en los programas de medidas de las Estrategias Marinas.,Yes
species,ES,MATL,2037,Mesoplodon mirus,No,,,,,,No
species,ES,MED,1088,Cerambyx cerdo,No,,,,,,Yes
species,ES,MED,1297,Vipera seoanei,Yes,ident,,,,,Yes
species,ES,MED,1305,Rhinolophus euryale,Yes,taken,maintain,inOut,medTerm,"Existe una propuesta de plan de conservación de los murciélagos cavernícolas en La Rioja (Aguilar, 2017) que 
establece medidas de protección para los refugios de mayor interés de la especie en la región, cerramientos y restricciones 
de acceso a los mismos.
En la Comunidad Valenciana se han realizado trabajos con el objetivo de incrementar la presencia de quirópteros en el tramo bajo del río Júcar (http://secemu.org/wp-content/uploads/2019/02/24.-C%C3%B3rdoba-SECEMU-Gibraltar.pdf).",Yes
species,ES,MED,1321,Myotis emarginatus,Yes,taken,maintain,inOut,medTerm,,Yes
species,ES,MED,1328,Nyctalus lasiopterus,Yes,ident,,,,No existe ningún plan específico de conservación para la especie.,Yes
species,ES,MED,1357,Martes martes,No,,,,,,Yes
species,ES,MED,1359,Herpestes ichneumon,No,,,,,"En España se han designado Zonas Importantes para los Mamíferos (ZIM) relacionadas entre
otras especies con H. ichneumon (Lozano et al., 2016).

Lozano, J., Fuente, U., Atienza, J. C., Cabezas, S., Aransay, N., Hernáez, C., Virgós, E. (Coord.) (2016). Zonas Importantes para los Mamíferos (ZIM) de España. SECEM-Tundra Ediciones, Castellón. 780 pp.",Yes
species,ES,MED,1386,Buxbaumia viridis,Yes,taken,maintain,in,lonTerm,"Está incluida en el catálogo nacional de especies protegidas con la categoría de Vulnerable; así como en el catálogo regional de Aragón y en el catalán; también en la lista roja de briófitos de España (Garilleti & Albertos, 2012; Infante et al., 2017).
En Navarra, se han tomado medidas dentro de la Red Natura 2000 promoviendo prácticas de gestión forestal sostenible, aún sin evaluar.",Yes
species,ES,MED,1413,Lycopodium spp.,Yes,ident,,,,,Yes
species,ES,MED,1429,Marsilea strigosa,Yes,taken,maintain,in,srtTerm,"Las medidas de conservación identificadas para aumentar el tamaño poblacional y/o mejorar la dinámica de población tanto dentro como fuera de la Red Natura 2000 son:
-Planificación y seguimiento: Sistema de seguimiento
-Legislación, vigilancia y concienciación: Catálogos de protección legales, sistema de vigilancia/control, comunicación y seguimiento de la implementación y cumplimiento. 
-Protección y gestión de hábitat: Medidas relacionadas con humedales y hábitats costeros y de agua dulce.

El proyecto LIFE CONHABIT ANDALUCIA [LIFE+13 NAT/ES/000586] está llevando a cabo medidas para mejorar el hábitat costero de los espacios protegidos por la Red Natura 2000 en varias zonas en Andalucía, aplicando varias acciones como la protección de las poblaciones existentes del trébol de 4 hojas peludo, especie objetivo del proyecto (http://www.lifeconhabitandalucia.es/index.php/trebol-de-4-hojas-peludo).",Yes
species,ES,MED,1599,Laserpitium longiradium,Yes,taken,maintain,in,srtTerm,"La especie está incluida en el 'Programa de Recuperación de Flora de las altas cumbres de Andalucía', bajo el cual se han llevado a cabo acciones de seguimiento de las poblaciones de la especie.
Como medidas de conservación ex situ esta especie se encuentra conservada en el Banco de Germoplasma Vegetal Andaluz (BGVA), de la Red Andaluza de Jardines Botánicos y Micológico (http://www.juntadeandalucia.es/medioambiente/site/portalweb/menuitem.7e1cf46ddf59bb227a9ebe205510e1ca/?vgnextoid=c384b2c42f207310VgnVCM2000000624e50aRCRD&vgnextchannel=5ebc6cbc15e77310VgnVCM2000000624e50aRCRD).",Yes
species,ES,MED,1844,Androcymbium europaeum,Yes,ident,,,,"Las mejores poblaciones de la especie se sitúan en el espacio protegido del 'Parque Natural de Cabo de Gata' donde se recomiendan medidas de conservación como: conservación ex-situ (propagación artificial, reintroducción, recolección de semillas), seguimiento y estudio de poblaciones (tendencia, biología y ecología), refuerzo de las medidas de protección legales y limitación de la agricultura y ganadería en las zonas donde se encuentra el hábitat de la especie.",Yes
species,ES,MED,1866,Galanthus nivalis,Yes,taken,maintain,in,medTerm,"El proyecto LIFE+ RESECOM “Red de seguimiento para especies de flora y hábitats de interés comunitario en Aragón” [LIFE12 NAT/ES/000180], llevado a cabo durante el periodo 2013-2018, ha establecido una red de seguimiento de las plantas y hábitats de la Comunidad Autónoma de Aragón, con el objetivo de recopilar y generar información útil para el público y las administraciones, que permita obtener conocimiento a largo plazo sobre la dinámica de las poblaciones, especies y hábitats. Esta especie ha figurado en el listado de especies objetivo del proyecto (http://www.liferesecom.ipe.csic.es/index2.php?lang=es).",Yes
species,ES,MED,1900,Spiranthes aestivalis,Yes,ident,,,,"Las principales medidas de conservación propuestas para esta especie consisten en:
-Planificación y seguimiento: Plan de gestión y sistema de seguimiento.
-Legislación, vigilancia y concienciación: Catálogos de protección legales, sistema de vigilancia/control y otras regulaciones no relacionadas con el hábitat.
-Protección y gestión del hábitat: Mantenimiento de pastizales/prados y otros hábitats abiertos, medidas relacionadas con los humedales, establecimiento de áreas protegidas, establecimiento de áreas silvestres, adaptación/abolición del uso de terrenos con fines militares y otras medidas de gestión espacial del territorio.
-Gestión de la especie objetivo: recolección de propágulos y propagación artificial y reintroducción.",Yes
species,ES,MED,5196,Aphanius baeticus,Yes,taken,maintain,inOut,srtTerm,"Dentro del 'Plan de Recuperación y Conservación de peces e invertebrados de medios acuáticos continentales', aprobado en 2012, se ha proyectado el 'Programa de actuación de Peces e Invertebrados de medios acuáticos epicontinentales' para el periodo 2015-2019, desarrollándose diversas acciones para mejorar las poblaciones y el hábitat de la especie (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/Programas%20de%20actuacion/programa_actuacion_epicontinentales_%20anexo_X.pdf).
Estas actuaciones son: reintroducción de nuevos efectivos de refuerzo provenientes de cría en cautividad en las localidades adecuadas, creación y mejora de pozas estivales y refugios, control de especies exóticas, revegetación de riberas, etc. (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/peces_invertebrados/FichaPlanEpicontinentales2016.pdf).",Yes
species,ES,MED,5285,Luciobarbus microcephalus,Yes,ident,,,,,Yes
species,ES,MED,6906,Alytes dickhilleni,Yes,taken,restore,inOut,srtTerm,,Yes
species,ES,MMED,1001,Corallium rubrum,No,,,,,,Yes
species,ES,MMED,2035,Ziphius cavirostris,Yes,taken,increase,inOut,lonTerm,Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.,Yes
species,ES,MMED,2621,Balaenoptera physalus,Yes,taken,maintain,inOut,lonTerm,,Yes
species,FI,BOR,1312,Nyctalus noctula,No,,,,,,No
species,FI,BOR,1326,Plecotus auritus,No,,,,,,Yes
species,FI,BOR,1334,Lepus timidus,No,,,,,,Yes
species,FI,BOR,1912,Gulo gulo,No,,,,,,Yes
species,FI,BOR,1920,Boros schneideri,Yes,taken,restore,inOut,medTerm,,Yes
species,FI,BOR,1957,Draba cinerea,No,,,,,,Yes
species,FI,BOR,1985,Hygrohypnum montanum,No,,,,,,Yes
species,FR,ALP,1065,Euphydryas aurinia,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ALP,1177,Salamandra atra,No,,,,,,Yes
species,FR,ALP,1368,Capra pyrenaica,No,,,,,,Yes
species,FR,ALP,1900,Spiranthes aestivalis,No,,,,,,Yes
species,FR,ALP,1903,Liparis loeselii,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ALP,6965,Cottus gobio all others,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ALP,6966,Osmoderma eremita Complex,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ATL,1030,Margaritifera auricularia,No,,,,,,Yes
species,FR,ATL,1074,Eriogaster catax,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ATL,1198,Pelobates cultripes,No,,,,,,Yes
species,FR,ATL,1331,Nyctalus leisleri,No,,,,,,Yes
species,FR,ATL,5365,Hypsugo savii,No,,,,,,Yes
species,FR,ATL,6965,Cottus gobio all others,Yes,ident,restore,inOut,medTerm,L'installation de briques de céramiques dans le lit des rivières est très efficaces pour permettre la reproduction de l'espèce.,Yes
species,FR,CON,1058,Maculinea arion,No,,,,,,Yes
species,FR,CON,1087,Rosalia alpina,Yes,taken,maintain,inOut,medTerm,"Des mesures sont prises sur le territoire, mais nous n’avons pas d’informations précises sur quelles régions biogéographiques sont concernées. Les mesures sont donc inscrites sur chaque domaine.",Yes
species,FR,CON,1145,Misgurnus fossilis,Yes,ident,maintain,inOut,lonTerm,,Yes
species,FR,CON,1193,Bombina variegata,Yes,ident,maintain,inOut,medTerm,,Yes
species,FR,CON,1309,Pipistrellus pipistrellus,No,,,,,,Yes
species,FR,CON,1310,Miniopterus schreibersii,Yes,taken,restore,inOut,medTerm,,Yes
species,FR,CON,1322,Myotis nattereri,No,,,,,,Yes
species,FR,CON,1357,Martes martes,No,,,,,,Yes
species,FR,CON,1428,Marsilea quadrifolia,Yes,taken,restore,in,medTerm,,Yes
species,FR,CON,1831,Luronium natans,Yes,notIdent,restore,inOut,medTerm,,Yes
species,FR,MATL,5020,Balaenoptera musculus,No,,,,,,No
species,FR,MED,1352,Canis lupus,Yes,taken,increase,inOut,medTerm,,Yes
species,FR,MED,1413,Lycopodium spp.,No,,,,,,Yes
species,FR,MED,4026,Rhysodes sulcatus,No,,,,,,No
species,FR,MED,4056,Anisus vorticulus,Yes,notIdent,maintain,in,medTerm,Reprendre la remarque formulée pour le domaine atlantique concernant les mesures.,Yes
species,FR,MED,6091,Zamenis longissimus,No,,,,,,Yes
species,FR,MED,6959,Ovis aries musimon,Yes,ident,expand,inOut,lonTerm,,Yes
species,FR,MMED,2624,Physeter macrocephalus,No,,,,,,Yes
species,GR,MED,1043,Lindenia tetraphylla,Yes,notIdent,,,,,Yes
species,GR,MED,1066,Apatura metis,Yes,ident,,,,,Yes
species,GR,MED,1077,Hyles hippophaes,No,,,,,,Yes
species,GR,MED,1121,Scardinius graecus,Yes,ident,,,,,Yes
species,GR,MED,1150,Silurus aristotelis,No,,,,,,Yes
species,GR,MED,1200,Pelobates syriacus,No,,,,,,Yes
species,GR,MED,1235,Chamaeleo chamaeleon,No,,,,,,Yes
species,GR,MED,1292,Natrix tessellata,No,,,,,,Yes
species,GR,MED,1314,Myotis daubentonii,No,,,,,,Yes
species,GR,MED,1324,Myotis myotis,Yes,notIdent,,,,,Yes
species,GR,MED,1335,Spermophilus citellus,Yes,notIdent,,,,,Yes
species,GR,MED,1341,Muscardinus avellanarius,No,,,,,,Yes
species,GR,MED,1771,Helichrysum sibthorpii,No,,,,,,Yes
species,GR,MED,1866,Galanthus nivalis,No,,,,,,Yes
species,GR,MED,1896,Phoenix theophrasti,Yes,notIdent,,,,,Yes
species,GR,MED,5180,Barbus albanicus,No,,,,,,Yes
species,GR,MED,5268,Alburnus volviticus,Yes,ident,,,,,Yes
species,GR,MED,5353,Salmo macedonicus,Yes,ident,,,,,Yes
species,GR,MED,5354,Salmo pelagonicus,Yes,ident,,,,,Yes
species,GR,MED,5375,Podarcis cretensis,No,,,,,,Yes
species,GR,MED,6289,Tropidophoxinellus spartiaticus,Yes,ident,,,,,Yes
species,GR,MED,6927,Himantoglossum jankae,No,,,,,,Yes
species,GR,MED,6928,Hirudo verbana,No,,,,,,No
species,GR,MED,6958,Mediodactylus kotschyi,No,,,,,,Yes
species,GR,MED,6966,Osmoderma eremita Complex,Yes,notIdent,,,,,Yes
species,GR,MMED,1224,Caretta caretta,Yes,ident,,,,Measures partly taken.,Yes
species,HR,ALP,1088,Cerambyx cerdo,Yes,ident,,,,"Conservation objectives and conservation measures for Natura 2000 target species are included in Forestry management plans together with activities for reaching conservation objectives and thus Forestry management plans are considered Natura2000 management plans. However, as there is no systematic monitoring, there is no adequate data to what extent are these measures really contributing to the species conservation status.",Yes
species,HR,ALP,1167,Triturus carnifex,Yes,ident,,,,"Conservation measures are included in water management planning documents. However, as there is no systematic monitoring, there is no data to what extent are these measures really incorporated in water management activities and the system for evaluation of effectiveness of those measures is lacking.",Yes
species,HR,ALP,1261,Lacerta agilis,Yes,ident,,,,,Yes
species,HR,ALP,1263,Lacerta viridis,Yes,ident,,,,,Yes
species,HR,ALP,1330,Myotis mystacinus,Yes,ident,,,,,No
species,HR,ALP,6904,Cobitis jadovaensis,Yes,ident,,,,,Yes
